Arrays for Test: randomDup
Linear Open Addressing Array:
Index    Key Value     Count
0         6000            1
1         7101            1
2         0            0
3         8503            1
4         4004            1
5         8505            1
6         9706            1
7         1607            1
8         8408            1
9         8908            1
10         2907            1
11         7711            1
12         6204            1
13         6513            1
14         6014            1
15         5915            1
16         713            1
17         6010            1
18         9311            1
19         4009            1
20         2615            1
21         3221            1
22         122            1
23         6223            1
24         606            1
25         14            1
26         7626            1
27         8026            1
28         828            1
29         9807            1
30         6830            1
31         5931            1
32         2831            1
33         333            1
34         9334            1
35         6932            1
36         2931            1
37         31            1
38         4533            1
39         1437            1
40         2514            1
41         4941            1
42         9841            1
43         6143            1
44         7444            1
45         6945            1
46         9418            1
47         7746            1
48         7848            1
49         3649            1
50         128            1
51         1516            1
52         2652            1
53         9953            1
54         4654            1
55         5653            1
56         8753            1
57         6353            1
58         8419            1
59         3110            1
60         2860            1
61         8460            1
62         1761            1
63         5460            1
64         1760            1
65         3365            1
66         3965            1
67         3265            1
68         8468            1
69         460            1
70         6867            1
71         8167            1
72         6772            1
73         7573            1
74         363            1
75         6967            1
76         8876            1
77         1376            1
78         5878            2
79         9678            1
80         276            1
81         6981            1
82         3682            1
83         1182            1
84         4684            1
85         9985            1
86         1686            1
87         9885            1
88         774            1
89         639            1
90         5590            1
91         390            1
92         7139            1
93         4693            1
94         3419            1
95         7145            1
96         1554            1
97         9497            1
98         6698            1
99         9899            1
