Arrays for Test: overfill
Linear Open Addressing Array:
Index    Key Value     Count
0         4300            1
1         1297            1
2         5202            1
3         5402            1
4         7604            1
5         1104            1
6         2203            1
7         7507            1
8         8407            1
9         505            1
10         7810            1
11         9811            1
12         5211            1
13         5113            1
14         3714            1
15         2913            1
16         8689            1
17         9917            1
18         18            1
19         100            1
20         1420            1
21         421            1
22         265            1
23         23            1
24         770            1
25         1025            1
26         894            1
27         2127            1
28         9728            1
29         2728            1
30         8630            1
31         5930            1
32         931            1
33         8533            1
34         4532            1
35         8035            1
36         9835            1
37         8637            1
38         3536            1
39         2437            1
40         934            1
41         6431            1
42         634            1
43         9830            1
44         8044            1
45         5538            1
46         6546            1
47         4747            1
48         4036            1
49         5027            1
50         1150            1
51         6250            1
52         7052            1
53         539            1
54         4522            1
55         9255            1
56         3210            1
57         2857            1
58         6058            1
59         9859            1
60         159            1
61         6015            1
62         62            1
63         6563            1
64         6964            1
65         5763            1
66         6666            1
67         5867            1
68         1668            1
69         466            1
70         5062            1
71         8871            1
72         6271            1
73         9568            1
74         1464            1
75         9173            1
76         1976            1
77         3676            1
78         1778            1
79         5376            1
80         2179            1
81         5581            1
82         4382            1
83         4083            1
84         9183            1
85         7885            1
86         3772            1
87         6769            1
88         6485            1
89         3989            1
90         89            1
91         1589            1
92         3991            1
93         9492            1
94         5094            1
95         3295            1
96         5891            1
97         4197            1
98         7798            1
99         7691            1
